Wavelength, Read Noise, Sky, Dark, A_Eff, BEF, Disp_Width,  XDisp_Width
      1172.00, 0.0, 2.74E-05,  5.00E-06,  3.584E+04,  1.486E-20,  3.1,  3.1
      1173.00, 0.0, 2.80E-05,  5.00E-06,  3.577E+04,  1.516E-20,  3.1,  3.1
      1174.00, 0.0, 2.87E-05,  5.00E-06,  3.570E+04,  1.549E-20,  3.1,  3.1
      1175.00, 0.0, 2.93E-05,  5.00E-06,  3.563E+04,  1.582E-20,  3.1,  3.1
      1176.00, 0.0, 3.00E-05,  5.00E-06,  3.556E+04,  1.618E-20,  3.1,  3.1
      1177.00, 0.0, 3.08E-05,  5.00E-06,  3.548E+04,  1.655E-20,  3.1,  3.1
      1178.00, 0.0, 3.15E-05,  5.00E-06,  3.541E+04,  1.694E-20,  3.1,  3.1
      1179.00, 0.0, 3.24E-05,  5.00E-06,  3.533E+04,  1.735E-20,  3.1,  3.1
      1180.00, 0.0, 3.32E-05,  5.00E-06,  3.526E+04,  1.779E-20,  3.1,  3.1
      1181.00, 0.0, 3.41E-05,  5.00E-06,  3.518E+04,  1.825E-20,  3.1,  3.1
      1182.00, 0.0, 3.51E-05,  5.00E-06,  3.512E+04,  1.873E-20,  3.1,  3.1
      1183.00, 0.0, 3.62E-05,  5.00E-06,  3.507E+04,  1.925E-20,  3.1,  3.1
      1184.00, 0.0, 3.73E-05,  5.00E-06,  3.502E+04,  1.980E-20,  3.1,  3.1
      1185.00, 0.0, 3.85E-05,  5.00E-06,  3.496E+04,  2.038E-20,  3.1,  3.1
      1186.00, 0.0, 3.98E-05,  5.00E-06,  3.491E+04,  2.101E-20,  3.1,  3.1
      1187.00, 0.0, 4.11E-05,  5.00E-06,  3.485E+04,  2.167E-20,  3.1,  3.1
      1188.00, 0.0, 4.26E-05,  5.00E-06,  3.480E+04,  2.239E-20,  3.1,  3.1
      1189.00, 0.0, 4.41E-05,  5.00E-06,  3.474E+04,  2.316E-20,  3.1,  3.1
      1190.00, 0.0, 4.58E-05,  5.00E-06,  3.468E+04,  2.399E-20,  3.1,  3.1
      1191.00, 0.0, 4.76E-05,  5.00E-06,  3.462E+04,  2.488E-20,  3.1,  3.1
      1192.00, 0.0, 4.94E-05,  5.00E-06,  3.447E+04,  2.586E-20,  3.1,  3.1
      1193.00, 0.0, 5.14E-05,  5.00E-06,  3.429E+04,  2.693E-20,  3.1,  3.1
      1194.00, 0.0, 5.35E-05,  5.00E-06,  3.411E+04,  2.809E-20,  3.1,  3.1
      1195.00, 0.0, 5.59E-05,  5.00E-06,  3.393E+04,  2.936E-20,  3.1,  3.1
      1196.00, 0.0, 5.85E-05,  5.00E-06,  3.376E+04,  3.076E-20,  3.1,  3.1
      1197.00, 0.0, 6.13E-05,  5.00E-06,  3.358E+04,  3.232E-20,  3.1,  3.1
      1198.00, 0.0, 6.45E-05,  5.00E-06,  3.340E+04,  3.404E-20,  3.1,  3.1
      1199.00, 0.0, 6.81E-05,  5.00E-06,  3.322E+04,  3.598E-20,  3.1,  3.1
      1200.00, 0.0, 7.21E-05,  5.00E-06,  3.305E+04,  3.815E-20,  3.1,  3.1
      1201.00, 0.0, 7.67E-05,  5.00E-06,  3.287E+04,  4.063E-20,  3.1,  3.1
      1202.00, 0.0, 8.19E-05,  5.00E-06,  3.269E+04,  4.346E-20,  3.1,  3.1
      1203.00, 0.0, 8.83E-05,  5.00E-06,  3.266E+04,  4.673E-20,  3.1,  3.1
      1204.00, 0.0, 9.59E-05,  5.00E-06,  3.262E+04,  5.056E-20,  3.1,  3.1
      1205.00, 0.0, 1.05E-04,  5.00E-06,  3.259E+04,  5.510E-20,  3.1,  3.1
      1206.00, 0.0, 1.16E-04,  5.00E-06,  3.255E+04,  6.059E-20,  3.1,  3.1
      1207.00, 0.0, 1.29E-04,  5.00E-06,  3.252E+04,  6.734E-20,  3.1,  3.1
      1208.00, 0.0, 1.46E-04,  5.00E-06,  3.249E+04,  7.585E-20,  3.1,  3.1
      1209.00, 0.0, 1.68E-04,  5.00E-06,  3.245E+04,  8.691E-20,  3.1,  3.1
      1210.00, 0.0, 1.97E-04,  5.00E-06,  3.242E+04,  1.019E-19,  3.1,  3.1
